Name	Number	Ctf
Umbrella-Stand	12	5
Toy Car	12	9
Shoe Shelf	12	3
Valet	12	4
.ORIGIN - DRIVEWAY PAVED	12	0
armoire	12	38
Dining - Table Leaf / Pad	12	2
Piano Bench	12	5
Tote Ctn	12	2
Dog Cage	12	4
SHREDDER	12	1
ice chest	12	4
POTS	12	2
Mat	12	2
AISLE	12	2
Chair Office	12	5
Xmas Tree	12	6
Duffles	12	5
Cage	12	4
Beach Chair	12	3
folding chair	12	1
nothing going	12	0
.IMPORTANT NOTE 2	12	0
.3RD PARTY - ADD TO BILL	12	0
Keyboard w/Stand	12	9
tote medium	12	7
kennel	12	4
Mirror - (Floor type)	12	5
Chair - Leather	12	10
cat box	12	3
BUFFET	12	34
Cart, 3 Drawer Plastic	12	5
ramp	12	4
Table-End	12	5
Desk small	12	12
Box - 1.5 Cu Carton, contents not going	12	0
folding chairs	12	2
Patio Set	12	45
TV	12	8
bassinet	12	4
Misc Boxes	12	3
horse	11	3
UMBRELLA STAND	11	6
Engine	11	51
water cooler	11	8
WAGON	11	4
Heavy Bag	11	7
amp	11	11
Folding table	11	5
Garden hose on reel	11	6
Wall Shelf	11	3
Garden Hose Reel	11	8
Table, Folding	11	5
Bouncy Chair	11	5
Tractor Trailer Access OK	11	0
compressor	11	10
Xmas tree	11	5
Wicker Chair	11	5
Safe Floor/Small	11	10
Silk tree	11	5
Umbrella	11	5
Sofa - Loveseat - Leather	11	30
Weight Bar	11	4
Vehicle - Year, make - model	11	0
tote-small	11	2
Air Hockey Table	11	17
Dresser - Vanity Bench	11	3
toy chest	11	8
jack	11	8
Kitchen - Chair	11	5
Ottoman - Leather	11	5
Mower, Power	11	15
HOT TUBS: 65' & OVER	11	104
Bike youth	11	4
Cabinet, small	11	9
Bar, Stool	11	3
4.5 carton	11	4
Tote -Plastic Packed	11	2
Outdoor Chair	11	3
.GLASS TOP(S) CP	11	0
Table - Breakfast	11	7
Tub	11	4
Headboard / Footboard	11	9
Dryer -  Not Going	11	0
Washer - Not Going	11	0
pedestal	11	9
Plastic Storage Bin	11	3
Table lamp	11	3
Shelving Unit - Large	11	23
Shelf - Wood	11	3
range/stove	11	25
racks	11	2
Cement Bench	11	20
plastic drawers	11	3
Gun Safe	11	79
Cabinet, Curio	11	20
Box - 4.5 Cu. Carton, contents not going	11	0
Pedastal	10	4
Barrell	10	9
Firepit	10	10
CAMPING EQUIPMENT	10	10
MISC. TOOLS	10	9
LCD TV-37 inch	10	10
entertainment center	10	11
Glass Top	10	8
Xmas PBO	10	3
steamer	10	3
air mattress	10	7
LCD TV-55 inch	10	15
Clock	10	5
MISC TOOLS	10	9
Piano- Upright	10	70
Bench - Vanity	10	3
AMP	10	6
Rowing Machine	10	20
Rack - Shoe	10	2
Yard Tub	10	9
foosball table	10	21
shop vac	10	4
Hand Truck	10	5
Carpet - Medium	10	5
armoir	10	41
buffet top	10	23
MISC ITEMS	10	152
PICTURES	10	1
Bed, Footboard	10	5
Bed, Headboard	10	10
Drums	10	12
Chair Dining	10	5
Rack Shoe	10	2
METAL RACKS	10	14
tools	10	9
Shelf - Plastic	10	3
BB Hoop	10	21
TV - Flat Panel	10	14
Doll house	10	10
Tote - LG	10	6
gun safe	10	24
table bar height	10	20
China Cabinet	10	29
Pool Table Slate & 3rd Party	10	7
Coat Rack - Large	10	8
Tiller	10	15
china cabinet	10	31
Chair - Stack / Metal	10	1
Cooler - Small	10	2
Chair - Breakfast	10	4
Mirror free standing	10	5
MIRROR	10	9
Cooler - Ice Chest	10	2
ladder 10 Foot	10	7
Metal Rack	10	12
Books/book boxes /no more books or book boxes are going from this Room	10	0
Clamps	10	3
Car Top Carrier	10	10
Step stool	10	1
workmates	10	6
Porch Chair	10	5
PBO - TOTE (UNDER BED)	10	3
Chair - Wicker	10	5
SETTEE	10	10
Hoop	10	7
Toy Box	10	9
Carton	9	4
Bar	9	19
CASES OF WINE	9	5
Bar - Stool	9	3
dryer	9	25
SAW HORSES	9	2
LCD TV-40 inch	9	10
Chairs-Folding	9	1
Record Player	9	17
fouton	9	25
TABLE SAW	9	15
ToolChest	9	105
Basinette	9	7
Birdbath	9	11
Shelf Metal	9	5
Weedwacker	9	2
RACK,SMALL	9	5
Chair - Computer	9	5
SCOOTER	9	1
Cat Stand	9	4
Washer/Dryer Combo	9	50
.FLAT SCREEN TV - < 40" CP	9	0
Garbage Can	9	4
basket ball hoop	9	17
statue	9	9
Washing Machine-Top Loader	9	30
CAMP GEAR	9	9
COAT RACK	9	2
Desk, computer	9	12
Cabinet - Plastic	9	7
Desk Computer	9	12
Chair - Lawn	9	2
Bike rack	9	3
Self Plastic	9	3
Patio Chaise	9	10
Plastic Plants	9	4
Plastic drawer	9	4
Bedframe	9	14
executive Chair	9	16
dish carton	9	10
Vase	9	2
Engine Stand	9	12
Hamper - Clothes	9	2
Chair, folding	9	2
Outdoor - Child Gym	9	30
Cabinet-med.	9	20
Exercise Bike	9	31
Speaker - Large (Blanket Wrap)	9	5
Weight Rack	9	27
Dorm Fridge	9	5
Plastic Drawer Unit	9	5
WHITE BOARD	9	2
Vacuum - Floor Sweeper	9	1
storage cab	9	20
Hamock	9	8
Pack-n-play	9	5
gate	9	3
Desk - Large / Office	9	31
Laundry Basket - large	9	9
BED - Queen	9	61
organizer	9	10
cat furniture	9	10
Bookcase-small	9	5
Food Storage	9	4
plastic Shelves	9	5
Arm Chair - LG	9	20
Bassenet	9	3
Chair, Rocking	9	5
Tool - In a case / Power Tool	9	1
Dresser, Mirror	9	10
cabinet storage	9	15
cat tower	9	10
Fan - Ceiling	9	5
DESK	9	12
Patio Chair - Metal	9	7
Desk - Hutch	9	10
Net	9	2
Brooms, Bucket	9	3
Playhouse	8	18
LCD TV-48 inch	8	15
Juke Box	8	51
Drum Set	8	20
LCD-60 inch	8	20
Toy chest	8	6
Fireplace	8	29
File Cabinet-4 door vertical	8	10
Wardrobe	8	10
BOAT TRAILER	8	190
washer/dryer combo	8	60
Kids kitchen	8	5
Chair - Light	8	2
Plant	8	6
Cabinet - Utility	8	12
Ceramic Pots	8	9
Tent Camping	8	5
desk - small	8	10
Credenza - large	8	18
Tote - Small Packed	8	3
Tote - Large Packed	8	7
PBO's moving	8	3
chair, dining	8	8
Wicker Bench	8	9
Toy	8	1
Music Stand	8	1
basket	8	2
CARD TABLE	8	1
bin, large	8	10
Chair, Dining	8	4
Guns	8	4
grill	8	13
Exercycle	8	7
Table Sofa	8	7
ELLIPTICAL	8	20
PLASTIC SHELVES	8	7
Chair, Kitchen	8	5
Chair Beech	8	2
Chair Metal	8	2
Table Patio	8	10
planters	8	2
Miter Saw	8	18
Plastic storage bin	8	2
Dresser-Chest	8	30
Vise	8	9
Basket Ball Hoop	8	10
Shelving, Plastic	8	4
Filing Cabinet -  4 or 5 drawer lateral	8	15
cabinet plastic	8	4
duffle bag	8	5
Mirror With Feet	8	5
Battery Charger	8	4
PBO - TOTE (MEDIUM)	8	4
Washer - 3rd party	8	25
Washer - Front Load	8	32
Fishing gear	8	5
Ice chest	8	2
Head board/foot board	8	20
MATTS	8	1
Floor mirror	8	8
lawn edger	8	5
book carton	8	7
White Board	8	2
BBQ - Smoker	8	5
Tool Chest - Large	8	38
Sweeper	8	2
Table-Patio	8	18
Shoe shelf	8	2
Treadmill - Large	8	30
Shop vac	8	4
KAYAK UNDER 14FT	8	6
-	8	0
Util - Dryer	8	25
Bench-Small	8	4
Bed-Roll Away	8	2
lamp floor	8	3
Carpet - Large / Pad	8	10
pots	8	8
buckets	8	2
Wheel	8	2
humidifier	8	3
Chair Plastic	8	1
Sculpture	8	10
.STREET / PARKING INFO:	8	0
Dryer - Electric	8	24
MISC CUBE	8	11
Saw Horse, Folding	8	2
Cabinet - Corner / China	8	26
Clothes Hamper	8	2
washer, front load	8	25
File cabinet	8	5
Antique Desk	8	9
Tote-Medium	8	7
Camping Gear	8	6
Plastic Bin - Large	8	5
Range/Stove. 36"	8	30
Shelves - Plastic Small	8	4
Organizer	8	3
Christmas Ornaments	8	7
Goal	8	5
Appliances- Counter Top	8	3
Hutch - Bottom	8	25
Porch chairs	8	2
Notes - For Current Room	8	0
Patio chairs	8	4
small table	8	3
Toys	8	6
Plastic Drawers LG	8	5
Nothing Else is Moving	8	0
Gas can	7	2
HAMMOCK	7	4
Wardrobe PBO	7	10
Dresser - Small	7	10
plastic shelves	7	4
tube	7	1
Saw-Table	7	10
Kiln	7	16
table-card	7	2
miscellaneous	7	13
Wheelchair	7	14
Motorcycle	7	57
Weight Stand	7	8
Camp Gear	7	3
Chair - Adirondack	7	6
Locker	7	10
Plastic Bucket	7	3
Gun	7	2
Whiteboard	7	5
Creeper	7	4
Rototiller	7	17
Kids Kitchen	7	4
Desk-Computer	7	17
Table, Coffee	7	13
table base	7	8
notes	7	0
CANOE 14' & OVER	7	12
Bed- Headboard	7	5
Cat Tree	7	7
trailer	7	72
Kitchen Island	7	16
Gazebo	7	26
PBO - 2.5 (MIRROR CARTON)	7	2
outdoor dining table	7	30
Table - Child / Train	7	5
Car Ramps	7	4
Compressor, Air - Small	7	4
Carpet - Small / Runner	7	2
TV Stand	7	6
Shelf Large	7	8
BED FAME	7	8
snow skis	7	2
Shelve Plastic	7	4
TV LCD	7	5
cabinet -small	7	10
cabinet-medium	7	20
Globe	7	3
BAG	7	3
drill press	7	30
Work Bench - Small	7	15
Bath Shelf	7	3
Dollhouse	7	4
Cabinet-Large	7	32
Cat tree	7	5
GATE	7	1
Lawn Edger	7	5
TV - 32" LCD/LED	7	13
plastic chair	7	1
Grill	7	14
Wine Cooler	7	16
.DESTINATION - ACCESS UNKNOWN	7	0
Razor scooter	7	1
Wood Swing Set	7	93
Table - Patio Metal	7	4
Concrete Item	7	16
Printer Large	7	3
CHOP SAW	7	5
Refrigerator - Not Going	7	0
Plants	7	2
globe	7	8
Island	7	19
Shelf - Small	7	3
Book Shelf	7	5
CAR SEAT	7	7
pack n play	7	8
Canopy- portable	7	8
Computer - monitor	7	1
golf cart	7	109
rock	7	8
Radio Arm Saw	7	27
Safe - Small	7	10
PBO - Computer Monitor	7	2
cat tree	7	21
fireplace	7	25
Swingset	7	85
dresser mirror	7	10
Camping Equipment	7	6
car topper	7	9
Dog cage	7	4
Box - Wardrobe Carton, contents not going	7	0
Ski's	7	3
Chair - Child's	7	1
Car Seat	7	6
Hockey Bag	7	8
Work Mate	7	3
Humidifier / Purifier	7	5
Mirror - Small	7	3
TV - Large	7	20
Bed - Bunk	7	40
Chair - Occasional Leather	7	19
Chairs Folding	7	1
Chair metal	7	3
play house	7	88
Pot	7	5
Patio Table - Small	7	2
Misc Yard Tools	7	0
Amoire	7	35
All Terrain Vehicle	7	83
Tool	7	1
PC - Flat-Screen	7	3
Shop-Vac	7	7
Tools - Power-hand tools	7	2
Bed - head/foot/rails	7	6
Settee	7	19
Lamp, Floor	7	3
Cabinet Small	7	8
Desk Chair LG	7	10
Folding Table LG	7	5
Vacuum - Shop	7	4
Arm Chair - Small	7	6
Plastic Drawers Small	7	2
TV-19 inch	6	9
SNOWBOARD	6	4
Ski Set	6	3
Weight Set	6	36
XMas Tree	6	9
Lawn Spredder	6	2
DESK,CHAIR	6	5
Coffee Table	6	11
Carpet Cleaner	6	6
Glider	6	14
Car Jack	6	10
Christmas decor large mesh	6	4
Bed Frame - Headboard - Footboard	6	8
Milk Can	6	5
chair - desk	6	5
Guitar Stand	6	2
Guerrilla Rack	6	21
Sofa - Hideabed	6	50
Garage Misc.	6	40
Printer - Desktop	6	3
Wagon Kids	6	5
weights	6	39
Dart Board	6	4
Vacuum - Shop Vac	6	7
Table - Outdoors	6	10
Recliner	6	25
Plastic plant	6	4
Auto Storage For Top Of Car	6	9
Wood kids kitchen set	6	4
Corn Hole	6	6
bench, small	6	5
Magazine rack	6	2
BASSINET	6	3
Bike Trailer	6	6
Flower Pot	6	3
Tote 3	6	3
Eisle	6	8
Basketball goal	6	18
Yard ornament	6	6
Popcorn Machine	6	9
Tote small	6	2
Chair Patio	6	5
Toy Shelf	6	5
rack wardrobe	6	10
fish tank	6	10
Freezer - Small (Empty)	6	14
pboa 1.5	6	1
Snow Board	6	5
Bookcase - Plastic	6	5
rifle	6	4
Bed Rails	6	2
trailer /cart	6	15
1.5 cube carton	6	1
Hand Tool	6	2
Concrete Stand	6	13
gun cabinet	6	23
fishing poles etc	6	5
Heat Lamp Outside	6	9
.FLOORS - HW MOST/ALL OF HOME	6	0
.ORIGIN - DRIVEWAY - PAVED	6	0
.PETS IN HOME	6	0
PBO - TOTE (LARGE)	6	6
Kitchen Table Leaf	6	1
Sports Equipment	6	5
pet crate	6	4
Chest of Draws	6	12
valet	6	4
DOLLY	6	5
DVD / CD Rack	6	6
Washer, Front Load	6	25
Table Base	6	12
Ottoman - Leather - Large	6	10
Tire / Wheel	6	2
Shoerack	6	2
Bike Rack for Car	6	4
3 Drawer Tote	6	2
ATV	6	67
Table small	6	2
CHANGING TABLE	6	8
Refrigerator - College Style	6	10
.PAIRS AND SETS	6	0
gun case	6	1
birdbath	6	13
Shop Press	6	29
Cut Off Saw	6	10
PBO - Computer	6	3
matts floor	6	1
table saw	6	26
aquarium	6	50
plastic chairs	6	1
Shuttle	6	0
3rd Party Required	6	0
Mats	6	4
Box - 3.0 cu Carton, contents not going	6	0
Notes - Current Room	6	0
Sports Bag	6	3
quilt rack	6	4
Table Coffee	6	10
Table - Child's	6	2
Dirt Bike	6	11
bean bag	6	5
Plastic Bin	6	3
walker	6	1
Quilt Stand	6	5
Bookshelf, Large	6	17
Tool Chest	6	16
Porch Table	6	10
Rack - Wall	6	2
Antique Chair	6	5
Fireplace - Faux	6	15
Slide	6	4
Futon Bed	6	23
Futon - Large	6	26
Deco	6	6
BED - Twin	6	38
Animal Kennel	6	3
Rattan Wicker - Chair	6	7
Boogie Board	6	2
File cab 2 dr	6	10
AA Carrier Pack	6	0
Copier/Small	6	5
TV Cabinet	6	15
Cabinet-Medium	6	10
wardrobe	6	10
Plastic Bin Large	6	4
Tools - Small Handtools	6	0
Room divider	6	8
Mini-Chests	6	2
Bench - Wood	6	5
outdoor table	6	9
Video Cabinet	6	13
Bookcase - LARGE	6	30
Cooler  LG	6	5
Wastecan	6	2
Heater-Outdoor	5	10
Car Carrier	5	9
Table-patio	5	13
Misc Box	5	4
Tote - small	5	3
table- folding	5	2
LCD TV-42 inch	5	10
Coke Machine	5	26
LCD-TV 65 inch	5	20
Stroller-Double	5	10
Lamp-Floor	5	10
Freezer	5	11
PLANTS,FAKE	5	5
BIRDBATH	5	22
SKIS	5	2
STATUE	5	13
Piano-electric	5	28
Matresses	5	10
SHELVES,PLASTIC	5	5
Shelf Industrial	5	20
Work Bench Sm	5	20
Child's Chair	5	1
Cornhole	5	5
Swing Set	5	90
Canoe	5	38
Exercise Equipment - Inversion Table	5	8
Wardrobe Not Moving	5	10
Bench - vanity	5	1
Chair - Boudoir	5	13
SCREDDER	5	5
Chair, Bar	5	10
Lawn Seeder	5	5
Bench, Wood	5	11
shelves - wood	5	5
Desk - Kids	5	10
Door Mirror	5	12
umbrella stand	5	3
Bed - Waterbed Base	5	23
bed frame only	5	3
butcher block	5	21
Barbells	5	10
DRILL PRESS	5	17
B-BALL STAND	5	15
Stroler	5	4
WINE CASES	5	3
Broom	5	1
Cabinet, Small	5	10
Car Parts	5	12
Car ramp	5	2
Nothing in Room Goes	5	0
RIFLES/SHOT GUNS	5	1
SPEAKERS	5	4
Tool Chest Hand	5	2
Garden Pot	5	3
Shampooer	5	4
.BULKY - PIANO (UPRIGHT)	5	0
.UPHOLSTERY - SHRINK WRAP	5	0
chandelier	5	8
Straw Basket	5	3
Dry rack	5	2
music stand	5	2
Pack n play	5	4
Umbrella Patio	5	12
Yard Bin	5	5
kids bike	5	4
Chaise - Plastic	5	8
skis, cross country	5	4
Box Spring	5	9
Painting	5	2
table	5	3
Washer/Dryer Stackable	5	40
doghouse	5	10
BOAT 14' & OVER	5	46
chairs,plastic	5	1
Yard tools	5	1
door	5	8
cot	5	6
.MARBLE TOP(S) CP	5	0
Nothing Goes	5	0
blanket rack	5	4
fishing poles	5	3
mattress	5	9
tiller	5	14
Dresser, Single	5	29
weed wacker	5	4
PLAY TABLE	5	10
Rock	5	45
car ramps	5	4
Utility Shelf	5	6
Sprayer	5	4
Wagon Plastic	5	5
Instrument - In Case	5	1
hand truck	5	3
TV tray	5	4
Picture - Canvas - framed	5	3
TOTE - Medium	5	5
Util - Wash Machine - Top Load	5	25
chain saw	5	2
cradle	5	9
Shelves Plastic	5	3
.PACKING - CUSTOM	5	0
Buffet - Hutch	5	22
Lamp Shade Carton	5	3
weight bars	5	4
Bicycle - Small	5	3
Dresser, single	5	30
Crates	5	32
Desk Hutch	5	10
Record Cabinet	5	10
Bamboo	5	4
Table - Work	5	10
Dust Cleaner	5	35
Table Legs	5	6
Play Set	5	10
XL-PLASTIC TOTES	5	10
rocking horse	5	2
.STRAIGHT TRUCK NEEDED	5	0
Elliptical - Large	5	26
Razor	5	17
Concrete Yard Art	5	30
Outdoor Umbrella	5	3
Ski Equipment	5	10
Table - Base	5	9
BBQ Grill - Weber	5	2
Humidifier	5	3
.EXERCISE EQUIP - HOME GYM	5	0
Shelving Unit - 4 Shelves Plastic	5	4
Weights - ALL	5	52
ARMOIRE	5	23
Cabinet - Metal	5	8
Rack - Metal	5	5
Table - Library	5	11
head board	5	6
MISC 5 cube	5	5
MATTRESS	5	13
DRYER-electric	5	20
SHELF	5	10
Tools - misc.	5	2
AA Shuttle	5	0
Folding Cot	5	5
Oscilloscope	5	6
Camping Equip.	5	3
composte	5	15
Room Screen	5	7
Chair -Metal	5	3
Table - Folding Large	5	4
tractor	5	64
paper shredder	5	2
Jacks	5	3
Patio set	5	25
Kennels	5	2
Bar Stools	5	5
Chain Saw	5	4
Already Packed Box med	5	3
Desk - Child's	5	7
Chair,Folding	5	2
Desk - PC Large	5	30
Music stnd	5	3
Mirror, Large Wall/Floor	5	10
Desk - PC Small	5	13
drawers (plastic)	5	5
Rack Small	5	2
Tote-Plastic	5	5
Plastic Bin 4	5	4
picture/mirror cartons	5	3
Bedframe Only	5	6
hutch	4	30
Doghouse	4	25
Misc tools	4	15
Aquarium Stand Wood	4	20
Cradenza	4	20
Matt - Rubber/Gym	4	2
pots bronze	4	7
Minimum Crates	4	0
CREDENSA	4	30
CAR RAMP	4	3
4.5	4	3
Hot Tub	4	70
TV 27	4	25
BASKET	4	4
MISC WOOD	4	10
BAGS OF CLOTHES	4	5
Refrigerator - Small	4	10
Washing Machine/ Dryer Stackable -Miele	4	50
LCD TV- 65 inch	4	20
Weight Bench Normal	4	12
Shelf Sm	4	2
Cart - Kitchen	4	6
Table - Kitchen Sm	4	12
Cabinet - Bath	4	5
Wedding Dress PBO	4	4
PBO' Books	4	5
Baby seat	4	1
Toy - Kitchen	4	6
PBO	4	3
DOLLHOUSE	4	5
Wood Chipper	4	22
Lawn tools	4	8
Dog bed	4	2
Snack Table	4	3
Tent Bag	4	10
footlocker	4	5
Shoe Rack - Small	4	3
instrument no case	4	2
.ORIGIN - ELEVATOR	4	0
2 Wheel Dolly	4	3
Exercise Ball - Deflated	4	2
Futon - Sofa Bed	4	35
Picture - Canvas - no frame	4	3
Table - Outdoors- Large	4	15
snow board	4	5
Nothing goes	4	0
bed rails	4	7
B-Ball Hoop - Kids	4	3
Carpet - Large	4	10
Clock - wall	4	4
FOUNTAIN	4	26
shelf-wood	4	2
floor jack	4	9
Tote w/drawers - plastic packed	4	5
Desk Top	4	8
Mantle	4	16
Table-Stone	4	42
Yard Ornaments	4	6
cat condo	4	8
EZ up	4	18
Metal Chair	4	5
Gun case	4	4
SAW HORSE	4	1
Bench, Small	4	4
Mop	4	2
Tv trays	4	3
Desk, Chair	4	5
Cubic Foot Crates	4	1
Duffle Bags	4	4
safe	4	21
Plastic Toys Large	4	9
Coat rack	4	3
Auxiliary Service	4	0
Straight Truck Only	4	0
Small PBO	4	2
Table, Sm	4	2
Table Lg Folding	4	10
PC computer and Tower	4	4
Fouton	4	20
Stg bin	4	9
wood pcs	4	11
Chest - Plastic	4	4
Table - Folding Banquet	4	6
Christmas Decor	4	4
Washer--Front Load	4	35
Bed - Trundle	4	37
cube	4	3
BED FRAME	4	5
Gum ball Machine	4	5
Mannequin	4	7
Flag	4	3
WINE COOLER	4	6
Sink	4	7
Rack - Small	4	3
basketball goal	4	22
headboard / Footboard	4	5
Nothing going	4	0
Blinds	4	5
wine cooler	4	16
bed futon	4	30
NOTHING GOING FROM THIS AREA	4	100
Sleeping bag	4	2
Sofa Sleeper	4	50
Skies	4	5
Toy box	4	5
Wood- figure weight	4	7
drums	4	5
.DRIVER - RURAL AREA	4	0
.IMPORTANT NOTE 3	4	0
Bed -- Box Spring	4	10
Mower - Riding (NO GAS)	4	50
Roll Away Tool Chest	4	75
Bball hoop	4	23
Mop bucket	4	4
Cart Kitchen	4	7
Table Saw Lg	4	35
Yard Statue	4	10
Bicycle, Child's	4	2
Snack Tables	4	6
Tote Empty	4	2
Desk Chair - Leather	4	10
Drum Kit	4	11
Storage Cabinet	4	10
Kegorator	4	15
hutch bottom	4	20
BEAN BAG	4	6
dry rack	4	1
Engine Hoist	4	26
Jack Stand	4	2
Kennel	4	5
Lawn Edger/ Weed Wacker	4	5
Metal Stand	4	12
Cedar Chest	4	11
Bed - Frame Only	4	10
Bed- Headboard, Footboard	4	10
Safe -- Small	4	13
PBO - 8.0 (DISHPACK)	4	8
Pot - Clay (Large)	4	8
Washer - Cust to Service	4	25
AIR CONDITIONER	4	10
PUNCH BAG	4	8
TV Tray Set	4	5
car jack	4	8
bird cage	4	11
Oxygen Tank	4	4
Face Mask	4	4
rug small	4	3
.CUL DE SAC - OPEN	4	0
PBO - Computer Printer	4	2
Cat Stand - Large	4	10
Masonite	4	5
Ladders 3'	4	5
Clothing Racks	4	5
.MARBLE TOP(S) CRATED	4	0
Ship	4	5
cushions	4	2
grinder	4	20
Nothing else going in this room	4	0
Table-end	4	5
Garden tools	4	8
Pack N Play	4	8
Cabinet - Wood (Small)	4	4
Table - Wood (Small)	4	2
Outdoor - Child Slide	4	8
desk child's	4	8
tools hand	4	3
Saw horses	4	5
air hockey table	4	25
stone statue	4	10
Universal Gym	4	40
equipment	4	10
Bed, Frame	4	10
Table, Patio	4	10
mats exercise	4	4
.CUST 2 SERVICE - DRYER	4	0
.DRIVER - STREET IS NARROW	4	0
.EXERCISE EQUIP - ELLIPTICAL	4	0
Workbench - Large	4	25
Audio Cab	4	12
Sweater Chest	4	5
reindeer	4	1
FOOT LOCKER	4	8
VANITY STOOL	4	3
SHEPARD HOOK	4	1
WIRE BENCH	4	20
Garden- Hand Tools	4	1
Shelves-Plastic	4	5
Bicycle - Rack	4	2
patio chair	4	3
Cabinet small	4	7
JACK	4	7
Vacuum - Carpet Cleaner	4	3
Fish Tank Stand	4	10
Tredmill	4	36
Antique Table	4	5
Dress Form	4	5
Chair - Wooden	4	3
shelf decorative	4	8
PBO - 6.0 (X-LGE)	4	7
Plastic Totes	4	5
SHOE HOLDER	4	5
chainsaw	4	5
Cement Table	4	20
Desk - Youth	4	10
Tote - 3 Drawer	4	3
Chair - Aluminum/Plastic	4	1
Weed Trimmer	4	3
Car Bench Seat	4	10
pool	4	6
Wine Rack - Floor	4	5
Curtains - Drapes - Window Coverings	4	2
CLOTHES RACK	4	2
TRUNK	4	8
WASHING MACHINE-top load	4	25
Chair medal	4	3
Table.sm	4	3
Chair Matt	4	2
Metal	4	5
TV Stand - Small	4	7
Crate - Small, Plastic	4	2
Yard Art - Small	4	2
SWING-A-MATIC	4	2
Rubbermaid Shed	4	12
AA Crate	4	0
Golf Pull Cart	4	3
Shelf Wall	4	3
Childs wagon	4	10
Wood Kitchen Play Set For Kids	4	5
Gun / Rifle	4	2
Gun safe	4	79
Basonette	4	12
jewelry cab	4	12
Marble Top	4	13
Pak n Play	4	10
Schredder	4	3
Nothing	4	0
 Bicycle - Rack	4	5
Bankers Box	4	4
Wall Cabinet	4	8
foot locker	4	10
table top	4	6
Games	4	3
Plastic Shelves	4	3
Miscellaneous Item	4	60
Vas	4	8
tools-hand	4	1
Lateral cabinet	4	25
Skateboard	4	2
Bird bath	4	5
Shelves - Wood (Small)	4	3
Golf Caddy	4	3
Tool Chest - Medium	4	28
Dryer - Electric - 3rd Party	4	25
Already Packed Large	4	4
trimmer	4	2
Chair, Wicker	4	3
Desk - Childs	4	5
WEEDEATER	4	2
YARD TOOLS	4	3
CUBBIE HOLES	4	9
Desk/Small	4	22
Tools/Hand	4	2
Gear Bag	4	4
Car Ramp	4	6
Deck Box - Large	4	8
light fixture	4	6
Chair, Metal	4	3
Tv Trays	4	2
Weed Wacker	4	3
Mirror/Large	4	8
Shoe/Rack	4	2
.ORIGIN CARRY > 100'	4	0
Soccer Net	4	5
Tree	4	12
Metal Cabinet	4	19
PLASTIC DRAWERS	4	3
Dorm Refrigerator	4	12
Plastic Shelf LG	4	5
BBQ Grill - XLG	4	20
.ORIGIN CARRY - RIGHT AROUND 100'	4	0
.LOT NOT GOING - INVENTORY BELOW REFLECTS ITEMS MOVER ASKED TO MOVE. REST OF HOME NOT GOING	4	0
NOTHING GOING	4	0
Bench Seat	4	4
Wood Pieces	4	4
Inversion Table	4	12
WARDROBE NOT MOVING	4	0
Bicycle - Child's	4	2
nothing else in this room	4	0
Tool box	4	2
Strollers	4	4
.FLAT SCREEN NEW TV CARTON	4	0
table-folding	4	3
Pole Lamp Carton	4	10
Toys - Assorted	4	5
Tote 5	4	5
Dresser - Bureau	4	27
